pair_id,piece_id,split,context_file,target_file,context_ntokens,target_ntokens,compound_sim,sim_bucket,tgt_key_shift
19,00002,train,00002_s4_D_53-64.npy,00002_s1_B_25-32.npy,172,92,0.593124,sim:low,0
20,00002,train,00002_s4_D_53-64.npy,00002_s2_A_33-40.npy,172,72,0.827566,sim:high,0
21,00002,train,00002_s4_D_53-64.npy,00002_s3_C_41-52.npy,172,199,0.496597,sim:low,0
22,00003,train,00003_s0_A_4-7.npy,00003_s1_B_11-22.npy,61,158,0.533047,sim:low,0
23,00003,train,00003_s0_A_4-7.npy,00003_s2_B_23-34.npy,61,161,0.548233,sim:low,0
24,00003,train,00003_s0_A_4-7.npy,00003_s3_B_35-46.npy,61,156,0.545092,sim:low,0
25,00003,train,00003_s1_B_11-22.npy,00003_s0_A_4-7.npy,158,61,0.533047,sim:low,0
26,00003,train,00003_s1_B_11-22.npy,00003_s2_B_23-34.npy,158,161,0.995161,sim:high,0
27,00003,train,00003_s1_B_11-22.npy,00003_s3_B_35-46.npy,158,156,0.664812,sim:mid,0
28,00003,train,00003_s2_B_23-34.npy,00003_s0_A_4-7.npy,161,61,0.548233,sim:low,0
29,00003,train,00003_s2_B_23-34.npy,00003_s1_B_11-22.npy,161,158,0.995161,sim:high,0
30,00003,train,00003_s2_B_23-34.npy,00003_s3_B_35-46.npy,161,156,0.67202,sim:mid,0
31,00003,train,00003_s3_B_35-46.npy,00003_s0_A_4-7.npy,156,61,0.545092,sim:low,0
32,00003,train,00003_s3_B_35-46.npy,00003_s1_B_11-22.npy,156,158,0.664812,sim:mid,0
33,00003,train,00003_s3_B_35-46.npy,00003_s2_B_23-34.npy,156,161,0.67202,sim:mid,0
34,00004,train,00004_s0_A_3-10.npy,00004_s1_B_11-18.npy,141,170,0.594222,sim:low,0
35,00004,train,00004_s0_A_3-10.npy,00004_s2_C_19-30.npy,141,239,0.598795,sim:low,0
36,00004,train,00004_s0_A_3-10.npy,00004_s3_D_31-42.npy,141,71,0.486131,sim:low,0
37,00004,train,00004_s1_B_11-18.npy,00004_s0_A_3-10.npy,170,141,0.594222,sim:low,0
38,00004,train,00004_s1_B_11-18.npy,00004_s2_C_19-30.npy,170,239,0.687065,sim:mid,0
39,00004,train,00004_s1_B_11-18.npy,00004_s3_D_31-42.npy,170,71,0.577789,sim:low,0
40,00004,train,00004_s2_C_19-30.npy,00004_s0_A_3-10.npy,239,141,0.598795,sim:low,0
41,00004,train,00004_s2_C_19-30.npy,00004_s1_B_11-18.npy,239,170,0.687065,sim:mid,0
42,00004,train,00004_s2_C_19-30.npy,00004_s3_D_31-42.npy,239,71,0.493223,sim:low,0
43,00004,train,00004_s3_D_31-42.npy,00004_s0_A_3-10.npy,71,141,0.486131,sim:low,0
44,00004,train,00004_s3_D_31-42.npy,00004_s1_B_11-18.npy,71,170,0.577789,sim:low,0
45,00004,train,00004_s3_D_31-42.npy,00004_s2_C_19-30.npy,71,239,0.493223,sim:low,0
46,00005,train,00005_s0_A_9-24.npy,00005_s1_B_25-32.npy,129,72,0.815295,sim:high,0
47,00005,train,00005_s0_A_9-24.npy,00005_s2_A_33-40.npy,129,69,0.913921,sim:high,0
48,00005,train,00005_s1_B_25-32.npy,00005_s0_A_9-24.npy,72,129,0.815295,sim:high,0
49,00005,train,00005_s1_B_25-32.npy,00005_s2_A_33-40.npy,72,69,0.825347,sim:high,0
50,00005,train,00005_s2_A_33-40.npy,00005_s0_A_9-24.npy,69,129,0.913921,sim:high,0
51,00005,train,00005_s2_A_33-40.npy,00005_s1_B_25-32.npy,69,72,0.825347,sim:high,0
52,00006,train,00006_s0_A_3-10.npy,00006_s1_B_11-18.npy,130,84,0.907147,sim:high,0
53,00006,train,00006_s0_A_3-10.npy,00006_s2_C_19-26.npy,130,64,0.905851,sim:high,0
54,00006,train,00006_s0_A_3-10.npy,00006_s3_D_27-34.npy,130,66,0.856741,sim:high,0
55,00006,train,00006_s1_B_11-18.npy,00006_s0_A_3-10.npy,84,130,0.907147,sim:high,0
56,00006,train,00006_s1_B_11-18.npy,00006_s2_C_19-26.npy,84,64,0.899803,sim:high,0
57,00006,train,00006_s1_B_11-18.npy,00006_s3_D_27-34.npy,84,66,0.882762,sim:high,0
58,00006,train,00006_s2_C_19-26.npy,00006_s0_A_3-10.npy,64,130,0.905851,sim:high,0
59,00006,train,00006_s2_C_19-26.npy,00006_s1_B_11-18.npy,64,84,0.899803,sim:high,0
60,00006,train,00006_s2_C_19-26.npy,00006_s3_D_27-34.npy,64,66,0.899336,sim:high,0
61,00006,train,00006_s3_D_27-34.npy,00006_s0_A_3-10.npy,66,130,0.856741,sim:high,0
62,00006,train,00006_s3_D_27-34.npy,00006_s1_B_11-18.npy,66,84,0.882762,sim:high,0
63,00006,train,00006_s3_D_27-34.npy,00006_s2_C_19-26.npy,66,64,0.899336,sim:high,0
64,00007,test,00007_s0_A_1-8.npy,00007_s1_B_9-16.npy,131,143,0.564459,sim:low,0
65,00007,test,00007_s0_A_1-8.npy,00007_s2_C_17-25.npy,131,215,0.923165,sim:high,2
66,00007,test,00007_s1_B_9-16.npy,00007_s0_A_1-8.npy,143,131,0.564459,sim:low,0
67,00007,test,00007_s1_B_9-16.npy,00007_s2_C_17-25.npy,143,215,0.580355,sim:low,0
68,00007,test,00007_s2_C_17-25.npy,00007_s0_A_1-8.npy,215,131,0.923165,sim:high,10
69,00007,test,00007_s2_C_17-25.npy,00007_s1_B_9-16.npy,215,143,0.580355,sim:low,0
70,00008,train,00008_s0_A_1-8.npy,00008_s1_B_9-16.npy,87,84,0.923992,sim:high,0
71,00008,train,00008_s0_A_1-8.npy,00008_s2_C_17-28.npy,87,153,0.714396,sim:mid,0
72,00008,train,00008_s1_B_9-16.npy,00008_s0_A_1-8.npy,84,87,0.923992,sim:high,0
73,00008,train,00008_s1_B_9-16.npy,00008_s2_C_17-28.npy,84,153,0.688836,sim:mid,0
74,00008,train,00008_s2_C_17-28.npy,00008_s0_A_1-8.npy,153,87,0.714396,sim:mid,0
75,00008,train,00008_s2_C_17-28.npy,00008_s1_B_9-16.npy,153,84,0.688836,sim:mid,0
76,00010,train,00010_s0_A_7-14.npy,00010_s1_A_15-24.npy,220,302,0.954782,sim:high,0
77,00010,train,00010_s0_A_7-14.npy,00010_s2_B_25-38.npy,220,144,0.517896,sim:low,0
78,00010,train,00010_s0_A_7-14.npy,00010_s3_A_39-46.npy,220,223,0.974029,sim:high,0
79,00010,train,00010_s0_A_7-14.npy,00010_s4_A_47-54.npy,220,221,0.644683,sim:mid,0
80,00010,train,00010_s0_A_7-14.npy,00010_s5_A_55-65.npy,220,228,0.641888,sim:mid,0
81,00010,train,00010_s1_A_15-24.npy,00010_s0_A_7-14.npy,302,220,0.954782,sim:high,0
82,00010,train,00010_s1_A_15-24.npy,00010_s2_B_25-38.npy,302,144,0.516851,sim:low,0
83,00010,train,00010_s1_A_15-24.npy,00010_s3_A_39-46.npy,302,223,0.982229,sim:high,0
84,00010,train,00010_s1_A_15-24.npy,00010_s4_A_47-54.npy,302,221,0.614995,sim:mid,0
85,00010,train,00010_s1_A_15-24.npy,00010_s5_A_55-65.npy,302,228,0.600245,sim:mid,0
86,00010,train,00010_s2_B_25-38.npy,00010_s0_A_7-14.npy,144,220,0.517896,sim:low,0
87,00010,train,00010_s2_B_25-38.npy,00010_s1_A_15-24.npy,144,302,0.516851,sim:low,0
88,00010,train,00010_s2_B_25-38.npy,00010_s3_A_39-46.npy,144,223,0.521877,sim:low,0
89,00010,train,00010_s2_B_25-38.npy,00010_s4_A_47-54.npy,144,221,0.841562,sim:high,0
90,00010,train,00010_s2_B_25-38.npy,00010_s5_A_55-65.npy,144,228,0.82209,sim:high,0
91,00010,train,00010_s3_A_39-46.npy,00010_s0_A_7-14.npy,223,220,0.974029,sim:high,0
92,00010,train,00010_s3_A_39-46.npy,00010_s1_A_15-24.npy,223,302,0.982229,sim:high,0
93,00010,train,00010_s3_A_39-46.npy,00010_s2_B_25-38.npy,223,144,0.521877,sim:low,0
94,00010,train,00010_s3_A_39-46.npy,00010_s4_A_47-54.npy,223,221,0.628301,sim:mid,0
95,00010,train,00010_s3_A_39-46.npy,00010_s5_A_55-65.npy,223,228,0.61117,sim:mid,0
96,00010,train,00010_s4_A_47-54.npy,00010_s0_A_7-14.npy,221,220,0.644683,sim:mid,0
97,00010,train,00010_s4_A_47-54.npy,00010_s1_A_15-24.npy,221,302,0.614995,sim:mid,0
98,00010,train,00010_s4_A_47-54.npy,00010_s2_B_25-38.npy,221,144,0.841562,sim:high,0
99,00010,train,00010_s4_A_47-54.npy,00010_s3_A_39-46.npy,221,223,0.628301,sim:mid,0
100,00010,train,00010_s4_A_47-54.npy,00010_s5_A_55-65.npy,221,228,0.979072,sim:high,0
101,00010,train,00010_s5_A_55-65.npy,00010_s0_A_7-14.npy,228,220,0.641888,sim:mid,0
102,00010,train,00010_s5_A_55-65.npy,00010_s1_A_15-24.npy,228,302,0.600245,sim:mid,0
103,00010,train,00010_s5_A_55-65.npy,00010_s2_B_25-38.npy,228,144,0.82209,sim:high,0
104,00010,train,00010_s5_A_55-65.npy,00010_s3_A_39-46.npy,228,223,0.61117,sim:mid,0
105,00010,train,00010_s5_A_55-65.npy,00010_s4_A_47-54.npy,228,221,0.979072,sim:high,0
106,00012,val,00012_s0_A_1-8.npy,00012_s1_B_9-18.npy,94,66,0.50743,sim:low,0
107,00012,val,00012_s1_B_9-18.npy,00012_s0_A_1-8.npy,66,94,0.50743,sim:low,0
108,00013,train,00013_s0_A_5-14.npy,00013_s1_B_15-21.npy,94,134,0.542672,sim:low,0
109,00013,train,00013_s1_B_15-21.npy,00013_s0_A_5-14.npy,134,94,0.542672,sim:low,0
110,00015,train,00015_s0_A_1-8.npy,00015_s1_B_9-17.npy,64,127,0.803655,sim:high,0
111,00015,train,00015_s1_B_9-17.npy,00015_s0_A_1-8.npy,127,64,0.803655,sim:high,0
112,00017,train,00017_s0_A_2-9.npy,00017_s1_A_10-17.npy,31,33,0.987441,sim:high,0
113,00017,train,00017_s0_A_2-9.npy,00017_s2_B_18-30.npy,31,45,0.83978,sim:high,0
114,00017,train,00017_s1_A_10-17.npy,00017_s0_A_2-9.npy,33,31,0.987441,sim:high,0
115,00017,train,00017_s1_A_10-17.npy,00017_s2_B_18-30.npy,33,45,0.83207,sim:high,0
116,00017,train,00017_s2_B_18-30.npy,00017_s0_A_2-9.npy,45,31,0.83978,sim:high,0
117,00017,train,00017_s2_B_18-30.npy,00017_s1_A_10-17.npy,45,33,0.83207,sim:high,0
118,00021,test,00021_s0_A_1-8.npy,00021_s1_B_9-16.npy,110,83,0.565167,sim:low,0
119,00021,test,00021_s0_A_1-8.npy,00021_s2_A_17-24.npy,110,115,0.635166,sim:mid,0
120,00021,test,00021_s0_A_1-8.npy,00021_s3_C_25-32.npy,110,170,0.511271,sim:low,0
121,00021,test,00021_s1_B_9-16.npy,00021_s0_A_1-8.npy,83,110,0.565167,sim:low,0
122,00021,test,00021_s1_B_9-16.npy,00021_s2_A_17-24.npy,83,115,0.591753,sim:low,0
123,00021,test,00021_s1_B_9-16.npy,00021_s3_C_25-32.npy,83,170,0.7322,sim:mid,0
124,00021,test,00021_s2_A_17-24.npy,00021_s0_A_1-8.npy,115,110,0.635166,sim:mid,0
125,00021,test,00021_s2_A_17-24.npy,00021_s1_B_9-16.npy,115,83,0.591753,sim:low,0
126,00021,test,00021_s2_A_17-24.npy,00021_s3_C_25-32.npy,115,170,0.523244,sim:low,0
127,00021,test,00021_s3_C_25-32.npy,00021_s0_A_1-8.npy,170,110,0.511271,sim:low,0
128,00021,test,00021_s3_C_25-32.npy,00021_s1_B_9-16.npy,170,83,0.7322,sim:mid,0
129,00021,test,00021_s3_C_25-32.npy,00021_s2_A_17-24.npy,170,115,0.523244,sim:low,0
130,00022,train,00022_s0_A_1-16.npy,00022_s1_B_17-32.npy,155,129,0.608085,sim:mid,0
131,00022,train,00022_s0_A_1-16.npy,00022_s2_A_33-48.npy,155,147,0.76493,sim:mid,0
132,00022,train,00022_s1_B_17-32.npy,00022_s0_A_1-16.npy,129,155,0.608085,sim:mid,0
133,00022,train,00022_s1_B_17-32.npy,00022_s2_A_33-48.npy,129,147,0.728032,sim:mid,0
134,00022,train,00022_s2_A_33-48.npy,00022_s0_A_1-16.npy,147,155,0.76493,sim:mid,0
135,00022,train,00022_s2_A_33-48.npy,00022_s1_B_17-32.npy,147,129,0.728032,sim:mid,0
136,00025,train,00025_s0_A_1-8.npy,00025_s1_B_9-20.npy,128,197,0.634057,sim:mid,0
137,00025,train,00025_s1_B_9-20.npy,00025_s0_A_1-8.npy,197,128,0.634057,sim:mid,0
138,00026,train,00026_s0_A_1-16.npy,00026_s1_B_17-28.npy,203,139,0.574855,sim:low,0
139,00026,train,00026_s1_B_17-28.npy,00026_s0_A_1-16.npy,139,203,0.574855,sim:low,0
140,00027,val,00027_s0_A_1-8.npy,00027_s1_B_9-16.npy,96,96,0.606916,sim:mid,0
141,00027,val,00027_s1_B_9-16.npy,00027_s0_A_1-8.npy,96,96,0.606916,sim:mid,0
142,00028,train,00028_s0_A_1-16.npy,00028_s1_B_17-28.npy,173,108,0.636517,sim:mid,0
143,00028,train,00028_s1_B_17-28.npy,00028_s0_A_1-16.npy,108,173,0.636517,sim:mid,0
144,00029,val,00029_s0_A_1-8.npy,00029_s1_B_9-24.npy,108,206,0.609549,sim:mid,0
145,00029,val,00029_s0_A_1-8.npy,00029_s2_A_25-32.npy,108,107,0.996896,sim:high,0
146,00029,val,00029_s0_A_1-8.npy,00029_s3_C_33-52.npy,108,234,0.613364,sim:mid,0
147,00029,val,00029_s1_B_9-24.npy,00029_s0_A_1-8.npy,206,108,0.609549,sim:mid,0
148,00029,val,00029_s1_B_9-24.npy,00029_s2_A_25-32.npy,206,107,0.606795,sim:mid,0
149,00029,val,00029_s1_B_9-24.npy,00029_s3_C_33-52.npy,206,234,0.629341,sim:mid,0
150,00029,val,00029_s2_A_25-32.npy,00029_s0_A_1-8.npy,107,108,0.996896,sim:high,0
151,00029,val,00029_s2_A_25-32.npy,00029_s1_B_9-24.npy,107,206,0.606795,sim:mid,0
152,00029,val,00029_s2_A_25-32.npy,00029_s3_C_33-52.npy,107,234,0.610763,sim:mid,0
153,00029,val,00029_s3_C_33-52.npy,00029_s0_A_1-8.npy,234,108,0.613364,sim:mid,0
154,00029,val,00029_s3_C_33-52.npy,00029_s1_B_9-24.npy,234,206,0.629341,sim:mid,0
155,00029,val,00029_s3_C_33-52.npy,00029_s2_A_25-32.npy,234,107,0.610763,sim:mid,0
156,00030,train,00030_s0_A_1-8.npy,00030_s1_B_9-22.npy,153,249,0.643361,sim:mid,0
157,00030,train,00030_s0_A_1-8.npy,00030_s2_C_23-32.npy,153,113,0.561362,sim:low,0
158,00030,train,00030_s1_B_9-22.npy,00030_s0_A_1-8.npy,249,153,0.643361,sim:mid,0
159,00030,train,00030_s1_B_9-22.npy,00030_s2_C_23-32.npy,249,113,0.629905,sim:mid,0
160,00030,train,00030_s2_C_23-32.npy,00030_s0_A_1-8.npy,113,153,0.561362,sim:low,0
161,00030,train,00030_s2_C_23-32.npy,00030_s1_B_9-22.npy,113,249,0.629905,sim:mid,0
162,00031,train,00031_s0_A_5-12.npy,00031_s1_B_13-28.npy,106,214,0.590396,sim:low,0
163,00031,train,00031_s0_A_5-12.npy,00031_s2_A_29-36.npy,106,134,0.970869,sim:high,0
164,00031,train,00031_s0_A_5-12.npy,00031_s3_B_37-52.npy,106,212,0.570574,sim:low,0
165,00031,train,00031_s0_A_5-12.npy,00031_s4_C_53-68.npy,106,207,0.551086,sim:low,0
166,00031,train,00031_s1_B_13-28.npy,00031_s0_A_5-12.npy,214,106,0.590396,sim:low,0
167,00031,train,00031_s1_B_13-28.npy,00031_s2_A_29-36.npy,214,134,0.580346,sim:low,0
168,00031,train,00031_s1_B_13-28.npy,00031_s3_B_37-52.npy,214,212,0.655565,sim:mid,0
169,00031,train,00031_s1_B_13-28.npy,00031_s4_C_53-68.npy,214,207,0.641244,sim:mid,0
170,00031,train,00031_s2_A_29-36.npy,00031_s0_A_5-12.npy,134,106,0.970869,sim:high,0
171,00031,train,00031_s2_A_29-36.npy,00031_s1_B_13-28.npy,134,214,0.580346,sim:low,0
172,00031,train,00031_s2_A_29-36.npy,00031_s3_B_37-52.npy,134,212,0.565035,sim:low,0
173,00031,train,00031_s2_A_29-36.npy,00031_s4_C_53-68.npy,134,207,0.538381,sim:low,0
174,00031,train,00031_s3_B_37-52.npy,00031_s0_A_5-12.npy,212,106,0.570574,sim:low,0
175,00031,train,00031_s3_B_37-52.npy,00031_s1_B_13-28.npy,212,214,0.655565,sim:mid,0
176,00031,train,00031_s3_B_37-52.npy,00031_s2_A_29-36.npy,212,134,0.565035,sim:low,0
177,00031,train,00031_s3_B_37-52.npy,00031_s4_C_53-68.npy,212,207,0.639542,sim:mid,0
178,00031,train,00031_s4_C_53-68.npy,00031_s0_A_5-12.npy,207,106,0.551086,sim:low,0
179,00031,train,00031_s4_C_53-68.npy,00031_s1_B_13-28.npy,207,214,0.641244,sim:mid,0
180,00031,train,00031_s4_C_53-68.npy,00031_s2_A_29-36.npy,207,134,0.538381,sim:low,0
181,00031,train,00031_s4_C_53-68.npy,00031_s3_B_37-52.npy,207,212,0.639542,sim:mid,0
182,00033,val,00033_s0_A_6-20.npy,00033_s1_B_21-28.npy,134,42,0.843856,sim:high,0
183,00033,val,00033_s0_A_6-20.npy,00033_s2_C_29-36.npy,134,90,0.925396,sim:high,0
184,00033,val,00033_s0_A_6-20.npy,00033_s3_D_37-47.npy,134,96,0.588511,sim:low,0
185,00033,val,00033_s1_B_21-28.npy,00033_s0_A_6-20.npy,42,134,0.843856,sim:high,0
186,00033,val,00033_s1_B_21-28.npy,00033_s2_C_29-36.npy,42,90,0.67868,sim:mid,0
187,00033,val,00033_s1_B_21-28.npy,00033_s3_D_37-47.npy,42,96,0.508754,sim:low,0
188,00033,val,00033_s2_C_29-36.npy,00033_s0_A_6-20.npy,90,134,0.925396,sim:high,0
189,00033,val,00033_s2_C_29-36.npy,00033_s1_B_21-28.npy,90,42,0.67868,sim:mid,0
190,00033,val,00033_s2_C_29-36.npy,00033_s3_D_37-47.npy,90,96,0.58139,sim:low,0
191,00033,val,00033_s3_D_37-47.npy,00033_s0_A_6-20.npy,96,134,0.588511,sim:low,0
192,00033,val,00033_s3_D_37-47.npy,00033_s1_B_21-28.npy,96,42,0.508754,sim:low,0
193,00033,val,00033_s3_D_37-47.npy,00033_s2_C_29-36.npy,96,90,0.58139,sim:low,0
194,00035,train,00035_s0_A_3-16.npy,00035_s1_B_17-24.npy,144,92,0.525291,sim:low,0
195,00035,train,00035_s0_A_3-16.npy,00035_s2_C_25-36.npy,144,125,0.549759,sim:low,0
196,00035,train,00035_s0_A_3-16.npy,00035_s3_D_37-44.npy,144,72,0.545092,sim:low,0
197,00035,train,00035_s1_B_17-24.npy,00035_s0_A_3-16.npy,92,144,0.525291,sim:low,0
198,00035,train,00035_s1_B_17-24.npy,00035_s2_C_25-36.npy,92,125,0.864097,sim:high,0
199,00035,train,00035_s1_B_17-24.npy,00035_s3_D_37-44.npy,92,72,0.811218,sim:high,0
200,00035,train,00035_s2_C_25-36.npy,00035_s0_A_3-16.npy,125,144,0.549759,sim:low,0
201,00035,train,00035_s2_C_25-36.npy,00035_s1_B_17-24.npy,125,92,0.864097,sim:high,0
202,00035,train,00035_s2_C_25-36.npy,00035_s3_D_37-44.npy,125,72,0.929145,sim:high,0
203,00035,train,00035_s3_D_37-44.npy,00035_s0_A_3-16.npy,72,144,0.545092,sim:low,0
204,00035,train,00035_s3_D_37-44.npy,00035_s1_B_17-24.npy,72,92,0.811218,sim:high,0
205,00035,train,00035_s3_D_37-44.npy,00035_s2_C_25-36.npy,72,125,0.929145,sim:high,0
206,00037,train,00037_s0_A_3-12.npy,00037_s1_B_13-20.npy,123,121,0.629102,sim:mid,0
207,00037,train,00037_s0_A_3-12.npy,00037_s2_C_21-28.npy,123,118,0.542261,sim:low,0
208,00037,train,00037_s1_B_13-20.npy,00037_s0_A_3-12.npy,121,123,0.629102,sim:mid,0
209,00037,train,00037_s1_B_13-20.npy,00037_s2_C_21-28.npy,121,118,0.55625,sim:low,0
210,00037,train,00037_s2_C_21-28.npy,00037_s0_A_3-12.npy,118,123,0.542261,sim:low,0
211,00037,train,00037_s2_C_21-28.npy,00037_s1_B_13-20.npy,118,121,0.55625,sim:low,0
212,00039,test,00039_s0_A_5-20.npy,00039_s1_B_21-28.npy,223,106,0.580692,sim:low,0
213,00039,test,00039_s0_A_5-20.npy,00039_s2_A_29-44.npy,223,208,0.989166,sim:high,0
214,00039,test,00039_s0_A_5-20.npy,00039_s3_C_45-60.npy,223,156,0.602815,sim:mid,0
215,00039,test,00039_s1_B_21-28.npy,00039_s0_A_5-20.npy,106,223,0.580692,sim:low,0
216,00039,test,00039_s1_B_21-28.npy,00039_s2_A_29-44.npy,106,208,0.591352,sim:low,0
217,00039,test,00039_s1_B_21-28.npy,00039_s3_C_45-60.npy,106,156,0.832929,sim:high,0
218,00039,test,00039_s2_A_29-44.npy,00039_s0_A_5-20.npy,208,223,0.989166,sim:high,0
219,00039,test,00039_s2_A_29-44.npy,00039_s1_B_21-28.npy,208,106,0.591352,sim:low,0
220,00039,test,00039_s2_A_29-44.npy,00039_s3_C_45-60.npy,208,156,0.626744,sim:mid,0
221,00039,test,00039_s3_C_45-60.npy,00039_s0_A_5-20.npy,156,223,0.602815,sim:mid,0
222,00039,test,00039_s3_C_45-60.npy,00039_s1_B_21-28.npy,156,106,0.832929,sim:high,0
223,00039,test,00039_s3_C_45-60.npy,00039_s2_A_29-44.npy,156,208,0.626744,sim:mid,0
224,00040,train,00040_s0_A_3-10.npy,00040_s1_B_11-18.npy,100,116,0.636839,sim:mid,0
225,00040,train,00040_s0_A_3-10.npy,00040_s2_C_19-30.npy,100,179,0.620239,sim:mid,0
226,00040,train,00040_s0_A_3-10.npy,00040_s3_B_31-38.npy,100,109,0.657294,sim:mid,4
227,00040,train,00040_s0_A_3-10.npy,00040_s4_D_39-54.npy,100,205,0.697738,sim:mid,0
228,00040,train,00040_s1_B_11-18.npy,00040_s0_A_3-10.npy,116,100,0.636839,sim:mid,0
229,00040,train,00040_s1_B_11-18.npy,00040_s2_C_19-30.npy,116,179,0.987957,sim:high,0
230,00040,train,00040_s1_B_11-18.npy,00040_s3_B_31-38.npy,116,109,0.649127,sim:mid,4
231,00040,train,00040_s1_B_11-18.npy,00040_s4_D_39-54.npy,116,205,0.602092,sim:mid,0
232,00040,train,00040_s2_C_19-30.npy,00040_s0_A_3-10.npy,179,100,0.620239,sim:mid,0
233,00040,train,00040_s2_C_19-30.npy,00040_s1_B_11-18.npy,179,116,0.987957,sim:high,0
234,00040,train,00040_s2_C_19-30.npy,00040_s3_B_31-38.npy,179,109,0.641921,sim:mid,0
235,00040,train,00040_s2_C_19-30.npy,00040_s4_D_39-54.npy,179,205,0.592167,sim:low,0
236,00040,train,00040_s3_B_31-38.npy,00040_s0_A_3-10.npy,109,100,0.657294,sim:mid,8
237,00040,train,00040_s3_B_31-38.npy,00040_s1_B_11-18.npy,109,116,0.649127,sim:mid,8
238,00040,train,00040_s3_B_31-38.npy,00040_s2_C_19-30.npy,109,179,0.641921,sim:mid,0
239,00040,train,00040_s3_B_31-38.npy,00040_s4_D_39-54.npy,109,205,0.671582,sim:mid,0
240,00040,train,00040_s4_D_39-54.npy,00040_s0_A_3-10.npy,205,100,0.697738,sim:mid,0
241,00040,train,00040_s4_D_39-54.npy,00040_s1_B_11-18.npy,205,116,0.602092,sim:mid,0
242,00040,train,00040_s4_D_39-54.npy,00040_s2_C_19-30.npy,205,179,0.592167,sim:low,0
243,00040,train,00040_s4_D_39-54.npy,00040_s3_B_31-38.npy,205,109,0.671582,sim:mid,0
244,00042,train,00042_s0_A_9-16.npy,00042_s1_B_17-24.npy,58,74,0.473576,sim:low,0
245,00042,train,00042_s0_A_9-16.npy,00042_s2_A_25-38.npy,58,102,0.650841,sim:mid,0
246,00042,train,00042_s1_B_17-24.npy,00042_s0_A_9-16.npy,74,58,0.473576,sim:low,0
247,00042,train,00042_s1_B_17-24.npy,00042_s2_A_25-38.npy,74,102,0.660606,sim:mid,0
248,00042,train,00042_s2_A_25-38.npy,00042_s0_A_9-16.npy,102,58,0.650841,sim:mid,0
249,00042,train,00042_s2_A_25-38.npy,00042_s1_B_17-24.npy,102,74,0.660606,sim:mid,0
250,00044,train,00044_s0_A_7-18.npy,00044_s1_A_19-34.npy,227,284,0.624498,sim:mid,0
251,00044,train,00044_s0_A_7-18.npy,00044_s2_B_35-50.npy,227,304,0.809406,sim:high,0
252,00044,train,00044_s0_A_7-18.npy,00044_s3_C_51-60.npy,227,199,0.611211,sim:mid,0
253,00044,train,00044_s1_A_19-34.npy,00044_s0_A_7-18.npy,284,227,0.624498,sim:mid,0
254,00044,train,00044_s1_A_19-34.npy,00044_s2_B_35-50.npy,284,304,0.588207,sim:low,0
255,00044,train,00044_s1_A_19-34.npy,00044_s3_C_51-60.npy,284,199,0.622545,sim:mid,0
256,00044,train,00044_s2_B_35-50.npy,00044_s0_A_7-18.npy,304,227,0.809406,sim:high,0
257,00044,train,00044_s2_B_35-50.npy,00044_s1_A_19-34.npy,304,284,0.588207,sim:low,0
258,00044,train,00044_s2_B_35-50.npy,00044_s3_C_51-60.npy,304,199,0.637624,sim:mid,0
259,00044,train,00044_s3_C_51-60.npy,00044_s0_A_7-18.npy,199,227,0.611211,sim:mid,0
